Run_ID,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Stimulus_ID,Prompt_ID,Participant_ID,Group,GroupKind,Response,Angle,Proximity,n_candidates,Actor,Candidates,list_id,Accuracy
h0,What is this person looking at?,coffee,water,,,0,0,h0,H0,Humans,A,front,3,2,X,water+coffee,7.0,False
h1,What is this person looking at?,water,coffee,,,0,0,h1,H0,Humans,A,front,3,2,X,water+coffee,7.0,True
h2,What is this person looking at?,water,coffee,,,0,0,h2,H0,Humans,A,front,3,2,X,water+coffee,7.0,True
h3,What is this person looking at?,coffee,water,,,1,0,h3,H0,Humans,A,front,3,2,X,water+coffee,3.0,False
h4,What is this person looking at?,water,coffee,,,1,0,h4,H0,Humans,A,front,3,2,X,water+coffee,3.0,True
h5,What is this person looking at?,coffee,water,,,1,0,h5,H0,Humans,A,front,3,2,X,water+coffee,3.0,False
h6,What is this person looking at?,water,coffee,,,2,0,h6,H0,Humans,A,front,3,2,X,water+coffee,9.0,False
h7,What is this person looking at?,coffee,water,,,2,0,h7,H0,Humans,A,front,3,2,X,water+coffee,9.0,True
h8,What is this person looking at?,water,coffee,,,2,0,h8,H0,Humans,A,front,3,2,X,water+coffee,9.0,False
h9,What is this person looking at?,coffee,water,,,3,0,h9,H0,Humans,A,front,3,2,X,water+coffee,3.0,True
h10,What is this person looking at?,water,coffee,,,3,0,h10,H0,Humans,A,front,3,2,X,water+coffee,3.0,False
h11,What is this person looking at?,coffee,water,,,3,0,h11,H0,Humans,A,front,3,2,X,water+coffee,3.0,True
h12,What is this person looking at?,water,coffee,,,4,0,h12,H0,Humans,A,left,3,2,X,water+coffee,14.0,True
h13,What is this person looking at?,coffee,water,,,4,0,h13,H0,Humans,A,left,3,2,X,water+coffee,14.0,False
h14,What is this person looking at?,coffee,water,,,4,0,h14,H0,Humans,A,left,3,2,X,water+coffee,14.0,False
h15,What is this person looking at?,water,coffee,,,5,0,h15,H0,Humans,A,left,3,2,X,water+coffee,6.0,True
h16,What is this person looking at?,coffee,water,,,5,0,h16,H0,Humans,A,left,3,2,X,water+coffee,6.0,False
h17,What is this person looking at?,water,coffee,,,5,0,h17,H0,Humans,A,left,3,2,X,water+coffee,6.0,True
h18,What is this person looking at?,water,coffee,,,6,0,h18,H0,Humans,A,left,3,2,X,water+coffee,17.0,False
h19,What is this person looking at?,water,coffee,,,6,0,h19,H0,Humans,A,left,3,2,X,water+coffee,17.0,False
h20,What is this person looking at?,coffee,water,,,6,0,h20,H0,Humans,A,left,3,2,X,water+coffee,17.0,True
h21,What is this person looking at?,water,coffee,,,7,0,h21,H0,Humans,A,left,3,2,X,water+coffee,3.0,False
h22,What is this person looking at?,water,coffee,,,7,0,h22,H0,Humans,A,left,3,2,X,water+coffee,3.0,False
h23,What is this person looking at?,coffee,water,,,7,0,h23,H0,Humans,A,left,3,2,X,water+coffee,3.0,True
h24,What is this person looking at?,water,coffee,,,8,0,h24,H0,Humans,A,right,3,2,X,water+coffee,5.0,True
h25,What is this person looking at?,water,coffee,,,8,0,h25,H0,Humans,A,right,3,2,X,water+coffee,5.0,True
h26,What is this person looking at?,water,coffee,,,8,0,h26,H0,Humans,A,right,3,2,X,water+coffee,5.0,True
h27,What is this person looking at?,coffee,water,,,9,0,h27,H0,Humans,A,right,3,2,X,water+coffee,9.0,False
h28,What is this person looking at?,coffee,water,,,9,0,h28,H0,Humans,A,right,3,2,X,water+coffee,9.0,False
h29,What is this person looking at?,water,coffee,,,9,0,h29,H0,Humans,A,right,3,2,X,water+coffee,9.0,True
h30,What is this person looking at?,coffee,water,,,10,0,h30,H0,Humans,A,right,3,2,X,water+coffee,4.0,True
h31,What is this person looking at?,water,coffee,,,10,0,h31,H0,Humans,A,right,3,2,X,water+coffee,4.0,False
h32,What is this person looking at?,coffee,water,,,10,0,h32,H0,Humans,A,right,3,2,X,water+coffee,4.0,True
h33,What is this person looking at?,coffee,water,,,11,0,h33,H0,Humans,A,right,3,2,X,water+coffee,0.0,True
h34,What is this person looking at?,water,coffee,,,11,0,h34,H0,Humans,A,right,3,2,X,water+coffee,0.0,False
h35,What is this person looking at?,water,coffee,,,11,0,h35,H0,Humans,A,right,3,2,X,water+coffee,0.0,False
h36,What is this person looking at?,water,coffee,,,12,0,h36,H0,Humans,A,front,2,2,X,water+coffee,10.0,True
h37,What is this person looking at?,water,coffee,,,12,0,h37,H0,Humans,A,front,2,2,X,water+coffee,10.0,True
h38,What is this person looking at?,coffee,water,,,12,0,h38,H0,Humans,A,front,2,2,X,water+coffee,10.0,False
h39,What is this person looking at?,coffee,water,,,13,0,h39,H0,Humans,A,front,2,2,X,water+coffee,13.0,False
h40,What is this person looking at?,coffee,water,,,13,0,h40,H0,Humans,A,front,2,2,X,water+coffee,13.0,False
h41,What is this person looking at?,water,coffee,,,13,0,h41,H0,Humans,A,front,2,2,X,water+coffee,13.0,True
h42,What is this person looking at?,water,coffee,,,14,0,h42,H0,Humans,A,front,2,2,X,water+coffee,16.0,False
h43,What is this person looking at?,coffee,water,,,14,0,h43,H0,Humans,A,front,2,2,X,water+coffee,16.0,True
h44,What is this person looking at?,water,coffee,,,14,0,h44,H0,Humans,A,front,2,2,X,water+coffee,16.0,False
h45,What is this person looking at?,water,coffee,,,15,0,h45,H0,Humans,A,front,2,2,X,water+coffee,1.0,False
h46,What is this person looking at?,coffee,water,,,15,0,h46,H0,Humans,A,front,2,2,X,water+coffee,1.0,True
h47,What is this person looking at?,coffee,water,,,15,0,h47,H0,Humans,A,front,2,2,X,water+coffee,1.0,True
h48,What is this person looking at?,water,coffee,,,16,0,h48,H0,Humans,A,front,2,2,X,water+coffee,16.0,False
h49,What is this person looking at?,coffee,water,,,16,0,h49,H0,Humans,A,front,2,2,X,water+coffee,16.0,True
h50,What is this person looking at?,coffee,water,,,16,0,h50,H0,Humans,A,front,2,2,X,water+coffee,16.0,True
h51,What is this person looking at?,water,coffee,,,17,0,h51,H0,Humans,A,left,2,2,X,water+coffee,0.0,True
h52,What is this person looking at?,coffee,water,,,17,0,h52,H0,Humans,A,left,2,2,X,water+coffee,0.0,False
h53,What is this person looking at?,water,coffee,,,17,0,h53,H0,Humans,A,left,2,2,X,water+coffee,0.0,True
h54,What is this person looking at?,water,coffee,,,18,0,h54,H0,Humans,A,left,2,2,X,water+coffee,18.0,True
h55,What is this person looking at?,water,coffee,,,18,0,h55,H0,Humans,A,left,2,2,X,water+coffee,18.0,True
h56,What is this person looking at?,water,coffee,,,18,0,h56,H0,Humans,A,left,2,2,X,water+coffee,18.0,True
h57,What is this person looking at?,coffee,water,,,19,0,h57,H0,Humans,A,left,2,2,X,water+coffee,10.0,True
h58,What is this person looking at?,coffee,water,,,19,0,h58,H0,Humans,A,left,2,2,X,water+coffee,10.0,True
h59,What is this person looking at?,coffee,water,,,19,0,h59,H0,Humans,A,left,2,2,X,water+coffee,10.0,True
h60,What is this person looking at?,water,coffee,,,20,0,h0,H0,Humans,A,left,2,2,X,water+coffee,8.0,False
h61,What is this person looking at?,coffee,water,,,20,0,h1,H0,Humans,A,left,2,2,X,water+coffee,8.0,True
h62,What is this person looking at?,water,coffee,,,20,0,h2,H0,Humans,A,left,2,2,X,water+coffee,8.0,False
h63,What is this person looking at?,water,coffee,,,21,0,h3,H0,Humans,A,right,2,2,X,water+coffee,17.0,True
h64,What is this person looking at?,coffee,water,,,21,0,h4,H0,Humans,A,right,2,2,X,water+coffee,17.0,False
h65,What is this person looking at?,coffee,water,,,21,0,h5,H0,Humans,A,right,2,2,X,water+coffee,17.0,False
h66,What is this person looking at?,coffee,water,,,22,0,h6,H0,Humans,A,right,2,2,X,water+coffee,12.0,False
h67,What is this person looking at?,water,coffee,,,22,0,h7,H0,Humans,A,right,2,2,X,water+coffee,12.0,True
h68,What is this person looking at?,coffee,water,,,22,0,h8,H0,Humans,A,right,2,2,X,water+coffee,12.0,False
h69,What is this person looking at?,coffee,water,,,23,0,h9,H0,Humans,A,right,2,2,X,water+coffee,17.0,True
h70,What is this person looking at?,coffee,water,,,23,0,h10,H0,Humans,A,right,2,2,X,water+coffee,17.0,True
h71,What is this person looking at?,coffee,water,,,23,0,h11,H0,Humans,A,right,2,2,X,water+coffee,17.0,True
h72,What is this person looking at?,water,coffee,,,24,0,h12,H0,Humans,A,right,2,2,X,water+coffee,18.0,False
h73,What is this person looking at?,coffee,water,,,24,0,h13,H0,Humans,A,right,2,2,X,water+coffee,18.0,True
h74,What is this person looking at?,coffee,water,,,24,0,h14,H0,Humans,A,right,2,2,X,water+coffee,18.0,True
h75,What is this person looking at?,water,coffee,,,25,0,h15,H0,Humans,A,front,1,2,X,water+coffee,1.0,True
h76,What is this person looking at?,coffee,water,,,25,0,h16,H0,Humans,A,front,1,2,X,water+coffee,1.0,False
h77,What is this person looking at?,coffee,water,,,25,0,h17,H0,Humans,A,front,1,2,X,water+coffee,1.0,False
h78,What is this person looking at?,coffee,water,,,26,0,h18,H0,Humans,A,front,1,2,X,water+coffee,12.0,False
h79,What is this person looking at?,water,coffee,,,26,0,h19,H0,Humans,A,front,1,2,X,water+coffee,12.0,True
h80,What is this person looking at?,coffee,water,,,26,0,h20,H0,Humans,A,front,1,2,X,water+coffee,12.0,False
h81,What is this person looking at?,coffee,water,,,27,0,h21,H0,Humans,A,front,1,2,X,water+coffee,12.0,True
h82,What is this person looking at?,water,coffee,,,27,0,h22,H0,Humans,A,front,1,2,X,water+coffee,12.0,False
h83,What is this person looking at?,water,coffee,,,27,0,h23,H0,Humans,A,front,1,2,X,water+coffee,12.0,False
h84,What is this person looking at?,water,coffee,,,28,0,h24,H0,Humans,A,front,1,2,X,water+coffee,0.0,False
h85,What is this person looking at?,coffee,water,,,28,0,h25,H0,Humans,A,front,1,2,X,water+coffee,0.0,True
h86,What is this person looking at?,water,coffee,,,28,0,h26,H0,Humans,A,front,1,2,X,water+coffee,0.0,False
h87,What is this person looking at?,water,coffee,,,29,0,h27,H0,Humans,A,left,1,2,X,water+coffee,16.0,True
h88,What is this person looking at?,coffee,water,,,29,0,h28,H0,Humans,A,left,1,2,X,water+coffee,16.0,False
h89,What is this person looking at?,coffee,water,,,29,0,h29,H0,Humans,A,left,1,2,X,water+coffee,16.0,False
h90,What is this person looking at?,water,coffee,,,30,0,h30,H0,Humans,A,left,1,2,X,water+coffee,10.0,True
h91,What is this person looking at?,water,coffee,,,30,0,h31,H0,Humans,A,left,1,2,X,water+coffee,10.0,True
h92,What is this person looking at?,coffee,water,,,30,0,h32,H0,Humans,A,left,1,2,X,water+coffee,10.0,False
h93,What is this person looking at?,water,coffee,,,31,0,h33,H0,Humans,A,left,1,2,X,water+coffee,11.0,False
h94,What is this person looking at?,coffee,water,,,31,0,h34,H0,Humans,A,left,1,2,X,water+coffee,11.0,True
h95,What is this person looking at?,coffee,water,,,31,0,h35,H0,Humans,A,left,1,2,X,water+coffee,11.0,True
h96,What is this person looking at?,water,coffee,,,32,0,h36,H0,Humans,A,left,1,2,X,water+coffee,11.0,False
h97,What is this person looking at?,coffee,water,,,32,0,h37,H0,Humans,A,left,1,2,X,water+coffee,11.0,True
h98,What is this person looking at?,coffee,water,,,32,0,h38,H0,Humans,A,left,1,2,X,water+coffee,11.0,True
h99,What is this person looking at?,water,coffee,,,33,0,h39,H0,Humans,A,right,1,2,X,water+coffee,2.0,True
h100,What is this person looking at?,coffee,water,,,33,0,h40,H0,Humans,A,right,1,2,X,water+coffee,2.0,False
h101,What is this person looking at?,coffee,water,,,33,0,h41,H0,Humans,A,right,1,2,X,water+coffee,2.0,False
h102,What is this person looking at?,water,coffee,,,34,0,h42,H0,Humans,A,right,1,2,X,water+coffee,8.0,True
h103,What is this person looking at?,water,coffee,,,34,0,h43,H0,Humans,A,right,1,2,X,water+coffee,8.0,True
h104,What is this person looking at?,water,coffee,,,34,0,h44,H0,Humans,A,right,1,2,X,water+coffee,8.0,True
h105,What is this person looking at?,water,coffee,,,35,0,h45,H0,Humans,A,right,1,2,X,water+coffee,1.0,False
h106,What is this person looking at?,coffee,water,,,35,0,h46,H0,Humans,A,right,1,2,X,water+coffee,1.0,True
h107,What is this person looking at?,water,coffee,,,35,0,h47,H0,Humans,A,right,1,2,X,water+coffee,1.0,False
h108,What is this person looking at?,coffee,water,,,36,0,h48,H0,Humans,A,right,1,2,X,water+coffee,10.0,True
h109,What is this person looking at?,water,coffee,,,36,0,h49,H0,Humans,A,right,1,2,X,water+coffee,10.0,False
h110,What is this person looking at?,coffee,water,,,36,0,h50,H0,Humans,A,right,1,2,X,water+coffee,10.0,True
h111,What is this person looking at?,coffee,remote,,,37,0,h51,H0,Humans,A,front,3,2,X,coffee+remote,12.0,True
h112,What is this person looking at?,coffee,remote,,,37,0,h52,H0,Humans,A,front,3,2,X,coffee+remote,12.0,True
h113,What is this person looking at?,remote,coffee,,,37,0,h53,H0,Humans,A,front,3,2,X,coffee+remote,12.0,False
h114,What is this person looking at?,coffee,remote,,,38,0,h54,H0,Humans,A,front,3,2,X,coffee+remote,15.0,True
h115,What is this person looking at?,coffee,remote,,,38,0,h55,H0,Humans,A,front,3,2,X,coffee+remote,15.0,True
h116,What is this person looking at?,coffee,remote,,,38,0,h56,H0,Humans,A,front,3,2,X,coffee+remote,15.0,True
h117,What is this person looking at?,remote,coffee,,,39,0,h57,H0,Humans,A,front,3,2,X,coffee+remote,17.0,True
h118,What is this person looking at?,coffee,remote,,,39,0,h58,H0,Humans,A,front,3,2,X,coffee+remote,17.0,False
h119,What is this person looking at?,remote,coffee,,,39,0,h59,H0,Humans,A,front,3,2,X,coffee+remote,17.0,True
h120,What is this person looking at?,remote,coffee,,,40,0,h0,H0,Humans,A,front,3,2,X,coffee+remote,11.0,True
h121,What is this person looking at?,coffee,remote,,,40,0,h1,H0,Humans,A,front,3,2,X,coffee+remote,11.0,False
h122,What is this person looking at?,coffee,remote,,,40,0,h2,H0,Humans,A,front,3,2,X,coffee+remote,11.0,False
h123,What is this person looking at?,remote,coffee,,,41,0,h3,H0,Humans,A,left,3,2,X,coffee+remote,6.0,False
h124,What is this person looking at?,remote,coffee,,,41,0,h4,H0,Humans,A,left,3,2,X,coffee+remote,6.0,False
h125,What is this person looking at?,coffee,remote,,,41,0,h5,H0,Humans,A,left,3,2,X,coffee+remote,6.0,True
h126,What is this person looking at?,coffee,remote,,,42,0,h6,H0,Humans,A,left,3,2,X,coffee+remote,18.0,True
h127,What is this person looking at?,coffee,remote,,,42,0,h7,H0,Humans,A,left,3,2,X,coffee+remote,18.0,True
h128,What is this person looking at?,remote,coffee,,,42,0,h8,H0,Humans,A,left,3,2,X,coffee+remote,18.0,False
h129,What is this person looking at?,coffee,remote,,,43,0,h9,H0,Humans,A,left,3,2,X,coffee+remote,13.0,False
h130,What is this person looking at?,coffee,remote,,,43,0,h10,H0,Humans,A,left,3,2,X,coffee+remote,13.0,False
h131,What is this person looking at?,remote,coffee,,,43,0,h11,H0,Humans,A,left,3,2,X,coffee+remote,13.0,True
h132,What is this person looking at?,coffee,remote,,,44,0,h12,H0,Humans,A,left,3,2,X,coffee+remote,1.0,False
h133,What is this person looking at?,remote,coffee,,,44,0,h13,H0,Humans,A,left,3,2,X,coffee+remote,1.0,True
h134,What is this person looking at?,coffee,remote,,,44,0,h14,H0,Humans,A,left,3,2,X,coffee+remote,1.0,False
h135,What is this person looking at?,coffee,remote,,,45,0,h15,H0,Humans,A,right,3,2,X,coffee+remote,15.0,True
h136,What is this person looking at?,coffee,remote,,,45,0,h16,H0,Humans,A,right,3,2,X,coffee+remote,15.0,True
h137,What is this person looking at?,remote,coffee,,,45,0,h17,H0,Humans,A,right,3,2,X,coffee+remote,15.0,False
h138,What is this person looking at?,coffee,remote,,,46,0,h18,H0,Humans,A,right,3,2,X,coffee+remote,4.0,True
h139,What is this person looking at?,remote,coffee,,,46,0,h19,H0,Humans,A,right,3,2,X,coffee+remote,4.0,False
h140,What is this person looking at?,remote,coffee,,,46,0,h20,H0,Humans,A,right,3,2,X,coffee+remote,4.0,False
h141,What is this person looking at?,remote,coffee,,,47,0,h21,H0,Humans,A,right,3,2,X,coffee+remote,5.0,True
h142,What is this person looking at?,remote,coffee,,,47,0,h22,H0,Humans,A,right,3,2,X,coffee+remote,5.0,True
h143,What is this person looking at?,remote,coffee,,,47,0,h23,H0,Humans,A,right,3,2,X,coffee+remote,5.0,True
h144,What is this person looking at?,remote,coffee,,,48,0,h24,H0,Humans,A,right,3,2,X,coffee+remote,13.0,True
h145,What is this person looking at?,remote,coffee,,,48,0,h25,H0,Humans,A,right,3,2,X,coffee+remote,13.0,True
h146,What is this person looking at?,remote,coffee,,,48,0,h26,H0,Humans,A,right,3,2,X,coffee+remote,13.0,True
h147,What is this person looking at?,coffee,remote,,,49,0,h27,H0,Humans,A,front,2,2,X,coffee+remote,3.0,True
h148,What is this person looking at?,coffee,remote,,,49,0,h28,H0,Humans,A,front,2,2,X,coffee+remote,3.0,True
h149,What is this person looking at?,coffee,remote,,,49,0,h29,H0,Humans,A,front,2,2,X,coffee+remote,3.0,True
h150,What is this person looking at?,coffee,remote,,,50,0,h30,H0,Humans,A,front,2,2,X,coffee+remote,18.0,True
h151,What is this person looking at?,remote,coffee,,,50,0,h31,H0,Humans,A,front,2,2,X,coffee+remote,18.0,False
h152,What is this person looking at?,remote,coffee,,,50,0,h32,H0,Humans,A,front,2,2,X,coffee+remote,18.0,False
h153,What is this person looking at?,remote,coffee,,,51,0,h33,H0,Humans,A,front,2,2,X,coffee+remote,4.0,True
h154,What is this person looking at?,remote,coffee,,,51,0,h34,H0,Humans,A,front,2,2,X,coffee+remote,4.0,True
h155,What is this person looking at?,remote,coffee,,,51,0,h35,H0,Humans,A,front,2,2,X,coffee+remote,4.0,True
h156,What is this person looking at?,coffee,remote,,,52,0,h36,H0,Humans,A,front,2,2,X,coffee+remote,5.0,False
h157,What is this person looking at?,remote,coffee,,,52,0,h37,H0,Humans,A,front,2,2,X,coffee+remote,5.0,True
h158,What is this person looking at?,coffee,remote,,,52,0,h38,H0,Humans,A,front,2,2,X,coffee+remote,5.0,False
